code,name,lat,long
BKS,PADANG KEMILING,-3.864,102.341
SJP,SAO JOSE DO RIO PRETO,-20.816,-49.406
REN,ORENBURG,51.796,55.457
MFE,MC ALLEN MILLER INTERNATIONAL,26.176,-98.239
UTP,U TAPHAO INTERNATIONAL,12.68,101.005
TGU,TONCONTIN INTERNATIONAL,14.061,-87.217
TLH,TALLAHASSEE RGNL,30.396,-84.35
ACA,GENERAL JUAN N ALVAREZ INTERNATIONAL,16.757,-99.753
NJC,NIZHNEVARTOVSK,60.95,76.467
AMA,AMARILLO INTERNATIONAL,35.219,-101.706
ASJ,AMAMI,28.431,129.712
BHO,BHOPAL,23.285,77.337
PLW,MUTIARA,-0.918,119.909
TPP,TARAPOTO,-6.509,-76.373
YGJ,MIHO,35.492,133.236
KTA,KARRATHA,-20.712,116.773
PKC,YELIZOVO,53.166,158.453
MGF,MARINGA,-23.44,-51.907
ABD,ABADAN,30.365,48.233
PKY,TJILIK RIWUT,-2.225,113.943
ROK,ROCKHAMPTON,-23.382,150.475
TER,LAJES,38.764,-27.093
PMR,PALMERSTON NORTH,-40.321,175.617
BUZ,BUSHEHR,28.945,50.834
VGA,VIJAYAWADA,16.53,80.797
ISP,LONG ISLAND MAC ARTHUR,40.795,-73.1
CRD,COMODORO RIVADAVIA,-45.785,-67.466
HRE,HARARE INTERNATIONAL,-17.932,31.093
TNR,ANTANANARIVO IVATO,-18.797,47.479
VOZ,CHERTOVITSKOYE,51.814,39.23
OBO,OBIHIRO,42.733,143.217
IOS,ILHEUS,-14.816,-39.033
PUY,PULA,44.893,13.922
LBU,LABUAN,5.301,115.25
ZAD,ZADAR,44.108,15.347
NBC,BEAUFORT MCAS,32.477,-80.723
ASP,ALICE SPRINGS,-23.807,133.902
ASF,ASTRAKHAN,46.283,48.006
MCP,MACAPA,0.051,-51.072
LGP,PAGADIAN,7.828,123.46
IXL,LEH,34.136,77.546
TRU,CAPITAN CARLOS MARTINEZ DE PINILLOS,-8.085,-79.109
TUC,TENIENTE BENJAMIN MATIENZO,-26.841,-65.105
ZAH,ZAHEDAN INTERNATIONAL,29.476,60.906
DGT,DUMAGUETE,9.334,123.302
USN,ULSAN,35.593,129.352
VAS,SIVAS,39.814,36.903
BAX,BARNAUL,53.364,83.542
FDH,FRIEDRICHSHAFEN,47.671,9.511
CIX,CAPT JOSE ABELARDO QUINONES GONZALES,-6.787,-79.828
JOI,JOINVILLE,-26.225,-48.797
DNZ,CARDAK,37.785,29.701
COO,COTONOU CADJEHOUN,6.357,2.384
RSU,YEOSU,34.84,127.615
PCL,CAP FAP DAVID AVENZUR RENGIFO,-8.378,-74.574
PHS,PHITSANULOK,16.783,100.279
TIR,TIRUPATI,13.632,79.543
PNZ,PETROLINA,-9.364,-40.564
MKW,RENDANI,-0.88,134.05
RKT,RAS AL KHAIMAH INTERNATIONAL,25.613,55.939
PHE,PORT HEDLAND INTERNATIONAL,-20.378,118.626
BRQ,TURANY,49.151,16.694
AAE,ANNABA,36.822,7.809
JUL,JULIACA,-15.467,-70.158
STM,SANTA MARIA,-29.711,-53.688
SCW,SYKTYVKAR,61.648,50.846
HME,OUED IRARA,31.673,6.14
RAS,RASHT,37.325,49.606
MWZ,MWANZA,-2.444,32.932
ZAZ,ZARAGOZA AB,41.666,-1.041
PKN,ISKANDAR,-2.705,111.673
GNV,GAINESVILLE RGNL,29.69,-82.272
NPL,NEW PLYMOUTH,-39.009,174.179
TIM,MOSES KILANGIN,-4.528,136.887
TJQ,H AS HANANDJOEDDIN,-2.746,107.755
BHI,COMANDANTE ESPORA,-38.725,-62.169
RAJ,RAJKOT,22.309,70.779
BQS,IGNATYEVO,50.422,127.41
SCN,SAARBRUCKEN,49.214,7.109
HNA,HANAMAKI,39.431,141.136
KAN,KANO MALLAM AMINU INTERNATIONAL,12.047,8.524
GTO,JALALUDDIN,0.637,122.852
HTA,KADALA,52.026,113.305
KOP,NAKHON PHANOM,17.412,104.777
RTB,ROATAN,16.317,-86.522
TNN,TAINAN,22.95,120.206
TTJ,TOTTORI,35.53,134.166
BIK,FRANS KAISIEPO,-1.19,136.108
STW,SHPAKOVSKOYE,45.109,42.113
CFS,COFFS HARBOUR,-30.321,153.116
ENU,ENUGU,6.474,7.562
TRG,TAURANGA,-37.672,176.196
SOQ,JEFMAN,-0.926,131.12
SNO,SAKON NAKHON,17.195,104.119
RBR,PRESIDENTE MEDICI,-9.869,-67.894
TTE,BABULLAH,0.832,127.381
VFA,VICTORIA FALLS INTERNATIONAL,-18.096,25.839
IXU,AURANGABAD,19.863,75.398
MLN,MELILLA,35.28,-2.956
OSR,MOSNOV,49.696,18.111
DAV,ENRIQUE MALEK INTERNATIONAL,8.391,-82.435
HLZ,HAMILTON,-37.866,175.332
RES,RESISTENCIA,-27.45,-59.056
BHE,WOODBOURNE,-41.518,173.87
WIL,NAIROBI WILSON,-1.322,36.815
SWF,STEWART INTERNATIONAL,41.504,-74.105
TTT,FENGNIN,22.757,121.093
MKQ,MOPAH,-8.52,140.418
IMP,IMPERATRIZ,-5.531,-47.46
REL,ALMIRANTE ZAR,-43.21,-65.27
ERC,ERZINCAN,39.71,39.526
BJA,SOUMMAM,36.712,5.07
IVC,INVERCARGILL,-46.412,168.313
RGL,RIO GALLEGOS,-51.609,-69.313
MKK,MOLOKAI,21.153,-157.096
LPT,LAMPANG,18.272,99.504
MDQ,MAR DEL PLATA,-37.934,-57.573
BVB,BOA VISTA,2.846,-60.69
ERF,ERFURT,50.98,10.958
EAS,SAN SEBASTIAN,43.356,-1.791
PPP,PROSERPINE WHITSUNDAY COAST,-20.495,148.552
MAB,MARABA,-5.368,-49.138
MOC,MONTES CLAROS,-16.707,-43.819
TNJ,KIJANG,0.922,104.532
IPH,SULTAN AZLAN SHAH,4.568,101.092
NKT,CHERRY POINT MCAS,34.902,-76.881
UUD,MUKHINO,51.807,107.438
KEJ,KEMEROVO,55.27,86.107
KIS,KISUMU,-0.086,34.729
JUJ,JUJUY,-24.393,-65.098
RJA,RAJAHMUNDRY,17.109,81.818
LOE,LOEI,17.439,101.722
COT,COTULLA LA SALLE CO,28.458,-99.22
PPB,PRESIDENTE PRUDENTE,-22.175,-51.424
MSJ,MISAWA AB,40.703,141.368
TSJ,TSUSHIMA,34.285,129.33
FEN,FERNANDO DE NORONHA,-3.855,-32.423
ABX,ALBURY,-36.068,146.958
NAW,NARATHIWAT,6.52,101.743
KUA,KUANTAN,3.775,103.209
ROT,ROTORUA,-38.109,176.317
UEO,KUMEJIMA,26.363,126.714
AJL,AIZAWL,23.746,92.803
PLU,PAMPULHA,-19.852,-43.95
IAG,NIAGARA FALLS INTERNATIONAL,43.107,-78.946
PAC,MARCOS A GELABERT INTERNATIONAL,8.973,-79.556
KGI,KALGOORLIE BOULDER,-30.789,121.462
GNS,BINAKA,1.166,97.703
UAQ,SAN JUAN,-31.571,-68.418
IXS,SILCHAR,24.913,92.979
PSS,POSADAS,-27.386,-55.971
WGA,WAGGA WAGGA,-35.165,147.466
ISA,MOUNT ISA,-20.664,139.489
ENE,H HASAN AROEBOESMAN,-8.849,121.662
WMX,WAMENA,-4.096,138.952
LBJ,MUTIARA II,-8.486,119.889
BAL,BATMAN,37.929,41.116
CBQ,CALABAR,4.976,8.347
ABA,ABAKAN,53.74,91.385
DBO,DHANBAD,23.834,86.425
DBO,DUBBO,-32.217,148.575
HUN,HUALIEN,24.023,121.618
BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,25.907,-97.426
PXO,PORTO SANTO,33.073,-16.35
LCE,GOLOSON INTERNATIONAL,15.742,-86.853
NIM,DIORI HAMANI,13.481,2.184
RJK,RIJEKA,45.217,14.57
FXE,FORT LAUDERDALE EXECUTIVE,26.197,-80.171
KTG,RAHADI USMAN,-1.816,109.963
TMW,TAMWORTH,-31.084,150.847
PEZ,PLEASANTON MUNI,28.954,-98.52
RGA,RIO GRANDE,-53.777,-67.749
MZH,MERZIFON,40.829,35.522
ARK,ARUSHA,-3.368,36.633
LDU,LAHAD DATU,5.032,118.324
TLM,ZENATA,35.017,-1.45
BMU,MUHAMMAD SALAHUDDIN,-8.539,118.687
MQF,MAGNITOGORSK,53.393,58.76
WJR,WAJIR,1.733,40.091
BTK,BRATSK,56.371,101.699
LRD,LAREDO INTERNATIONAL,27.544,-99.461
EDL,ELDORET INTERNATIONAL,0.404,35.238
FMA,FORMOSA,-26.212,-58.228
PRA,GENERAL URQUIZA,-31.795,-60.48
CPC,AVIADOR C CAMPOS,-40.075,-71.137
PMY,EL TEHUELCHE,-42.759,-65.102
CNQ,CORRIENTES,-27.445,-58.762
SJT,SAN ANGELO RGNL MATHIS FLD,31.358,-100.496
SDE,SANTIAGO DEL ESTERO,-27.766,-64.31
BSK,BISKRA,34.793,5.738
AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,27.837,-0.186
SRI,TEMINDUNG,-0.484,117.157
LUQ,SAN LUIS,-33.273,-66.356
PED,PARDUBICE,50.013,15.739
MFK,MAFIKENG NORTH,-25.753,25.612
CYI,CHIAYI,23.462,120.393
KNX,KUNUNURRA,-15.778,128.707
IRJ,LA RIOJA,-29.381,-66.796
JHM,KAPALUA,20.963,-156.674
PRH,PHRAE,18.132,100.164
TMR,TAMANRASSET,22.811,5.451
KPO,POHANG,35.988,129.42
LNY,LANAI,20.786,-156.951
CTC,CATAMARCA,-28.596,-65.752
EQS,ESQUEL,-42.908,-71.139
MKZ,MALACCA,2.263,102.251
AFA,SAN RAFAEL,-34.588,-68.403
RCU,RIO CUARTO AREA DE MATERIAL,-33.086,-64.261
CLL,EASTERWOOD FLD,30.588,-96.364
RSA,SANTA ROSA,-36.588,-64.275
SJI,ANTIQUE,10.766,121.932
KYD,LANYU,22.029,121.527
GHA,NOUMERATE,32.384,3.794
SFN,SAUCE VIEJO,-31.712,-60.812
VDM,GOBERNADOR CASTELLO,-40.869,-63
